Date,Description,Debit,Credit,Balance
20-Aug-20,Interest,0,"36,393.59","36,393.58"
20-Aug-20,Debit Card,0,"4,043.73","32,349.85"
20-Aug-20,Purchase,2.89,0,"32,352.74"
20-Aug-20,Bill,63,0,"32,415.74"
20-Aug-20,Interest,"76,769.60",0,"109,185.34"
20-Aug-20,Bill,"94,207.31",0,"203,392.65"
20-Aug-20,Transfer,0,"203,392.65",0
20-Aug-20,Commission,39.73,0,39.73
20-Aug-20,Tax,"89,652.00",0,"89,691.73"
20-Aug-20,Cash,0,"44,845.87","44,845.86"
21-Aug-20,NEFT,41.91,0,"44,887.77"
21-Aug-20,Interest,0,"7,481.30","37,406.48"
21-Aug-20,ATM,0,"5,343.78","32,062.70"
21-Aug-20,Miscellaneous,"3,156.41",0,"35,219.11"
21-Aug-20,Cash,"6,157.03",0,"41,376.14"
21-Aug-20,Debit Card,0,"6,896.02","34,480.12"
21-Aug-20,Transfer,"1,266.60",0,"35,746.72"
22-Aug-20,Purchase,"208,917.44",0,"244,664.16"
22-Aug-20,ATM,"23,265.40",0,"267,929.56"
22-Aug-20,NEFT,0,"53,585.91","214,343.65"
22-Aug-20,IMPS,0,"21,434.37","192,909.28"
22-Aug-20,Miscellaneous,0,"27,558.47","165,350.81"
22-Aug-20,Interest,0,"41,337.70","124,013.11"
22-Aug-20,Commission,282.72,0,"124,295.83"
22-Aug-20,Tax,2,0,"124,297.83"
22-Aug-20,Transfer,0,"15,537.23","108,760.60"
22-Aug-20,Cheque,"13,904.77",0,"122,665.37"
22-Aug-20,Transfer,0,"122,665.37",0
22-Aug-20,Reversal,"149,499.80",0,"149,499.80"
22-Aug-20,Commission,"959,996.00",0,"1,109,495.80"
22-Aug-20,Cash,0,"221,899.16","887,596.64"
22-Aug-20,Cash,0,"126,799.52","760,797.12"
22-Aug-20,Transfer,2.45,0,"760,799.57"
22-Aug-20,Purchase,2,0,"760,801.57"
22-Aug-20,Miscellaneous,0,"108,685.94","652,115.63"
22-Aug-20,Debit Card,0,"65,211.56","586,904.07"
22-Aug-20,Tax,"14,868.60",0,"601,772.67"
22-Aug-20,Reversal,0,"300,886.34","300,886.34"
22-Aug-20,Debit Card,"3,782.00",0,"304,668.34"
22-Aug-20,Bill,"31,820.00",0,"336,488.34"
22-Aug-20,Purchase,8,0,"336,496.34"
22-Aug-20,IMPS,"193,149.69",0,"529,646.03"
22-Aug-20,ATM,0,"529,646.03",0
22-Aug-20,Miscellaneous,"3,339.42",0,"3,339.42"
22-Aug-20,Reversal,0,477.06,"2,862.36"
22-Aug-20,Reversal,"240,549.06",0,"243,411.42"
22-Aug-20,Reversal,0,"34,773.06","208,638.36"
22-Aug-20,Cash,0,"20,863.84","187,774.52"
22-Aug-20,Transfer,0,"23,471.82","164,302.70"
22-Aug-20,Purchase,33.01,0,"164,335.71"
22-Aug-20,RTGS,0,"54,778.57","109,557.14"
22-Aug-20,Transfer,0,"13,694.64","95,862.50"
22-Aug-20,Reversal,3.8,0,"95,866.30"
22-Aug-20,Interest,0,"9,586.63","86,279.67"
22-Aug-20,Commission,0,"9,586.63","76,693.04"
22-Aug-20,Transfer,0,"25,564.35","51,128.69"
22-Aug-20,Cash,0,"17,042.90","34,085.79"
22-Aug-20,Commission,"4,563.20",0,"38,648.99"
22-Aug-20,Cash,0,"4,831.12","33,817.87"
22-Aug-20,NEFT,0,"16,908.94","16,908.94"
22-Aug-20,NEFT,4,0,"16,912.94"
22-Aug-20,Bill,0,"1,691.29","15,221.65"
22-Aug-20,IMPS,"3,258.60",0,"18,480.25"
22-Aug-20,Miscellaneous,376,0,"18,856.25"
22-Aug-20,Cheque,405,0,"19,261.25"
22-Aug-20,Reversal,0,"1,926.13","17,335.12"
22-Aug-20,NEFT,0,"2,166.89","15,168.23"
22-Aug-20,Commission,0,"3,792.06","11,376.17"
22-Aug-20,Transfer,301.2,0,"11,677.37"
22-Aug-20,Reversal,0,"1,297.49","10,379.88"
22-Aug-20,NEFT,12,0,"10,391.88"
22-Aug-20,Miscellaneous,0,"1,484.55","8,907.33"
22-Aug-20,Cash,361,0,"9,268.33"
22-Aug-20,Commission,0,"1,853.67","7,414.66"
22-Aug-20,NEFT,0,"1,235.78","6,178.88"
22-Aug-20,Transfer,"602,287.00",0,"608,465.88"
22-Aug-20,Debit Card,6.15,0,"608,472.03"
22-Aug-20,NEFT,0,"101,412.01","507,060.02"
22-Aug-20,RTGS,58,0,"507,118.02"
22-Aug-20,Miscellaneous,3,0,"507,121.02"
22-Aug-20,ATM,0,"63,390.13","443,730.89"
22-Aug-20,Reversal,0,"443,730.89",0
22-Aug-20,Transfer,"1,058,363.20",0,"1,058,363.20"
22-Aug-20,Cash,"2,039,653.00",0,"3,098,016.20"
22-Aug-20,Debit Card,0,"774,504.05","2,323,512.15"
22-Aug-20,Tax,264.3,0,"2,323,776.45"
22-Aug-20,ATM,0,"2,323,776.45",0
22-Aug-20,Debit Card,"2,418.59",0,"2,418.59"
22-Aug-20,RTGS,"3,368.00",0,"5,786.59"
22-Aug-20,Tax,"208,446.00",0,"214,232.59"
22-Aug-20,NEFT,243.46,0,"214,476.05"
22-Aug-20,Reversal,0,"30,639.44","183,836.61"
22-Aug-20,Purchase,0,"18,383.66","165,452.95"
22-Aug-20,NEFT,0,"41,363.24","124,089.71"
22-Aug-20,Reversal,416,0,"124,505.71"
22-Aug-20,Debit Card,"436,646.00",0,"561,151.71"
22-Aug-20,Purchase,0,"280,575.86","280,575.86"
22-Aug-20,Reversal,0,"28,057.59","252,518.27"
22-Aug-20,NEFT,0,"50,503.65","202,014.62"
22-Aug-20,RTGS,0,"202,014.62",0
22-Aug-20,IMPS,"936,277.00",0,"936,277.00"
22-Aug-20,Cash,0,"93,627.70","842,649.30"
22-Aug-20,Debit Card,"2,470.40",0,"845,119.70"
22-Aug-20,Bill,0,"211,279.93","633,839.77"
22-Aug-20,Reversal,0,"211,279.92","422,559.85"
22-Aug-20,Tax,0,"42,255.99","380,303.86"
22-Aug-20,Debit Card,6,0,"380,309.86"
22-Aug-20,Interest,0,"54,329.98","325,979.88"
22-Aug-20,Tax,0,"40,747.49","285,232.40"
22-Aug-20,Reversal,"753,112.00",0,"1,038,344.40"
22-Aug-20,Cheque,0,"207,668.88","830,675.52"
22-Aug-20,RTGS,5,0,"830,680.52"
22-Aug-20,ATM,45.5,0,"830,726.02"
22-Aug-20,NEFT,0,"118,675.15","712,050.87"
22-Aug-20,Bill,6,0,"712,056.87"
22-Aug-20,Cheque,0,"89,007.11","623,049.76"
22-Aug-20,Commission,3.05,0,"623,052.81"
22-Aug-20,RTGS,"249,958.00",0,"873,010.81"
22-Aug-20,Interest,0,"97,001.20","776,009.61"
22-Aug-20,Transfer,0,"155,201.92","620,807.69"
22-Aug-20,Bill,0,"103,467.95","517,339.74"
22-Aug-20,ATM,6.56,0,"517,346.30"
22-Aug-20,Cash,0,"172,448.77","344,897.53"
22-Aug-20,Cash,0,"57,482.92","287,414.61"
22-Aug-20,RTGS,49.03,0,"287,463.64"
22-Aug-20,RTGS,2.7,0,"287,466.34"
22-Aug-20,Tax,0,"143,733.17","143,733.17"
22-Aug-20,Tax,0,"15,970.35","127,762.82"
22-Aug-20,IMPS,0,"12,776.28","114,986.54"
22-Aug-20,IMPS,0,"12,776.28","102,210.26"
22-Aug-20,Bill,0,"20,442.05","81,768.21"
22-Aug-20,Reversal,5,0,"81,773.21"
22-Aug-20,Purchase,0,"10,221.65","71,551.56"
22-Aug-20,ATM,"1,517.00",0,"73,068.56"
22-Aug-20,Purchase,58.32,0,"73,126.88"
22-Aug-20,NEFT,498.1,0,"73,624.98"
22-Aug-20,Commission,0,"18,406.25","55,218.74"
22-Aug-20,Bill,0,"27,609.37","27,609.37"
22-Aug-20,Bill,"1,477.00",0,"29,086.37"
22-Aug-20,Commission,"24,177.48",0,"53,263.85"
22-Aug-20,ATM,"16,117.00",0,"69,380.85"
22-Aug-20,Cash,1.2,0,"69,382.05"
22-Aug-20,IMPS,0,"34,691.03","34,691.02"
22-Aug-20,Interest,"75,165.20",0,"109,856.22"
22-Aug-20,Reversal,0,"21,971.24","87,884.98"
22-Aug-20,Cash,31.9,0,"87,916.88"
22-Aug-20,Miscellaneous,0,"12,559.55","75,357.33"
22-Aug-20,Reversal,0,"7,535.73","67,821.60"
22-Aug-20,Interest,0,"22,607.20","45,214.40"
22-Aug-20,Miscellaneous,0,"45,214.40",0
22-Aug-20,ATM,"232,149.80",0,"232,149.80"
23-Aug-20,NEFT,"14,076.00",0,"246,225.80"
23-Aug-20,Purchase,0,"82,075.27","164,150.53"
23-Aug-20,NEFT,53.9,0,"164,204.43"
23-Aug-20,RTGS,"2,062,993.25",0,"2,227,197.68"
23-Aug-20,Commission,0,"371,199.61","1,855,998.07"
23-Aug-20,Commission,0,"309,333.01","1,546,665.06"
23-Aug-20,Transfer,0,"220,952.15","1,325,712.91"
23-Aug-20,Bill,0,"220,952.15","1,104,760.76"
23-Aug-20,Cash,"669,526.00",0,"1,774,286.76"
23-Aug-20,Cheque,0,"197,142.97","1,577,143.79"
23-Aug-20,Reversal,0,"315,428.76","1,261,715.03"
23-Aug-20,ATM,"924,215.00",0,"2,185,930.03"
24-Aug-20,Interest,0,"2,185,930.03",0
24-Aug-20,IMPS,21,0,21
24-Aug-20,Transfer,"214,646.30",0,"214,667.30"
24-Aug-20,ATM,7,0,"214,674.30"
24-Aug-20,Commission,"32,457.50",0,"247,131.80"
24-Aug-20,Miscellaneous,0,"30,891.48","216,240.32"
24-Aug-20,Cash,5.69,0,"216,246.01"
24-Aug-20,RTGS,0,"72,082.00","144,164.01"
24-Aug-20,Debit Card,0,"48,054.67","96,109.34"
24-Aug-20,RTGS,"156,073.34",0,"252,182.68"
24-Aug-20,Bill,339.9,0,"252,522.58"
24-Aug-20,Transfer,4.84,0,"252,527.42"
24-Aug-20,RTGS,0,"84,175.81","168,351.61"
24-Aug-20,Reversal,0,"24,050.23","144,301.38"
24-Aug-20,Debit Card,"14,685.55",0,"158,986.93"
24-Aug-20,Reversal,"31,268.00",0,"190,254.93"
24-Aug-20,RTGS,0,"95,127.47","95,127.46"
24-Aug-20,Bill,"22,270.30",0,"117,397.76"
24-Aug-20,Commission,"17,631.50",0,"135,029.26"
24-Aug-20,NEFT,0,"13,502.93","121,526.33"
24-Aug-20,Interest,204.5,0,"121,730.83"
24-Aug-20,Transfer,"18,582.60",0,"140,313.43"
24-Aug-20,Purchase,39.1,0,"140,352.53"
25-Aug-20,NEFT,"1,164.08",0,"141,516.61"
25-Aug-20,Tax,0,"47,172.20","94,344.41"
25-Aug-20,NEFT,658.17,0,"95,002.58"
25-Aug-20,Bill,0,"95,002.58",0
25-Aug-20,NEFT,"561,068.00",0,"561,068.00"
25-Aug-20,Miscellaneous,0,"112,213.60","448,854.40"
25-Aug-20,Purchase,"2,468.00",0,"451,322.40"
25-Aug-20,Cash,0,"90,264.48","361,057.92"
25-Aug-20,Tax,0,"120,352.64","240,705.28"
25-Aug-20,Commission,0,"26,745.03","213,960.25"
25-Aug-20,RTGS,0,"23,773.36","190,186.89"
25-Aug-20,Bill,0,"190,186.89",0
25-Aug-20,Reversal,"56,146.28",0,"56,146.28"
25-Aug-20,Reversal,0,"9,357.71","46,788.57"
25-Aug-20,Miscellaneous,0,"15,596.19","31,192.38"
25-Aug-20,Reversal,"1,576.00",0,"32,768.38"
25-Aug-20,Cash,"4,887.83",0,"37,656.21"
26-Aug-20,NEFT,0,"4,184.02","33,472.19"
26-Aug-20,NEFT,0,"3,719.13","29,753.06"
26-Aug-20,IMPS,0,"4,250.44","25,502.62"
26-Aug-20,Miscellaneous,5.36,0,"25,507.98"
26-Aug-20,Purchase,0,"8,502.66","17,005.32"
26-Aug-20,Transfer,0,"8,502.66","8,502.66"
26-Aug-20,Debit Card,0,"2,834.22","5,668.44"
26-Aug-20,Cheque,234,0,"5,902.44"
26-Aug-20,Tax,"655,045.00",0,"660,947.44"
26-Aug-20,Debit Card,0,"132,189.49","528,757.95"
26-Aug-20,Interest,0,"264,378.98","264,378.97"
26-Aug-20,Tax,49,0,"264,427.97"
26-Aug-20,Cheque,"18,194.00",0,"282,621.97"
26-Aug-20,Commission,"96,151.00",0,"378,772.97"
26-Aug-20,Interest,0,"42,085.89","336,687.08"
26-Aug-20,Purchase,485.86,0,"337,172.94"
26-Aug-20,Commission,0,"67,434.59","269,738.35"
26-Aug-20,Tax,0,"89,912.78","179,825.57"
26-Aug-20,Cheque,147,0,"179,972.57"
26-Aug-20,Bill,57.96,0,"180,030.53"
26-Aug-20,Cheque,0,"18,003.05","162,027.48"
26-Aug-20,RTGS,0,"162,027.48",0
26-Aug-20,Bill,"2,558.20",0,"2,558.20"
26-Aug-20,Interest,"2,600.70",0,"5,158.90"
26-Aug-20,Reversal,0,515.89,"4,643.01"
26-Aug-20,Tax,0,"2,321.51","2,321.50"
26-Aug-20,Tax,0,257.94,"2,063.56"
26-Aug-20,NEFT,0,257.95,"1,805.62"
26-Aug-20,NEFT,0,902.81,902.81
26-Aug-20,Tax,"17,757.00",0,"18,659.81"
26-Aug-20,Bill,0,"1,865.98","16,793.83"
26-Aug-20,ATM,0,"2,099.23","14,694.60"
26-Aug-20,Debit Card,"1,765.00",0,"16,459.60"
26-Aug-20,Cash,"9,391.34",0,"25,850.94"
26-Aug-20,ATM,53,0,"25,903.94"
26-Aug-20,Commission,0,"25,903.94",0
27-Aug-20,Purchase,"4,089.00",0,"4,089.00"
27-Aug-20,Transfer,0,584.14,"3,504.86"
27-Aug-20,Debit Card,0,584.14,"2,920.72"
27-Aug-20,IMPS,0,324.52,"2,596.20"
27-Aug-20,ATM,"80,541.00",0,"83,137.20"
27-Aug-20,Debit Card,"12,207.01",0,"95,344.21"
27-Aug-20,Bill,"24,114.20",0,"119,458.41"
27-Aug-20,NEFT,0,"59,729.21","59,729.20"
27-Aug-20,Debit Card,0,"29,864.60","29,864.60"
27-Aug-20,Bill,"1,470.00",0,"31,334.60"
28-Aug-20,Interest,"1,597.30",0,"32,931.90"
28-Aug-20,Transfer,0,"4,116.49","28,815.41"
28-Aug-20,Transfer,"1,415.30",0,"30,230.71"
28-Aug-20,Tax,5.6,0,"30,236.31"
28-Aug-20,Cheque,"247,908.00",0,"278,144.31"
28-Aug-20,Debit Card,0,"92,714.77","185,429.54"
28-Aug-20,Tax,0,"26,489.93","158,939.61"
28-Aug-20,Tax,403,0,"159,342.61"
28-Aug-20,ATM,0,"19,917.83","139,424.78"
28-Aug-20,NEFT,0,"34,856.20","104,568.58"
28-Aug-20,Bill,"32,382.00",0,"136,950.58"
29-Aug-20,Interest,6.7,0,"136,957.28"
29-Aug-20,Transfer,"218,711.00",0,"355,668.28"
29-Aug-20,ATM,0,"355,668.28",0
29-Aug-20,Tax,"17,299.30",0,"17,299.30"
29-Aug-20,Commission,"13,481.50",0,"30,780.80"
29-Aug-20,RTGS,0,"30,780.80",0
29-Aug-20,Purchase,7.16,0,7.16
29-Aug-20,IMPS,0,1.02,6.14
29-Aug-20,RTGS,6.98,0,13.12
29-Aug-20,Cheque,63.3,0,76.42
29-Aug-20,IMPS,0,12.74,63.68
29-Aug-20,NEFT,"546,890.00",0,"546,953.68"
29-Aug-20,Bill,"243,884.72",0,"790,838.40"
29-Aug-20,Transfer,"5,037.68",0,"795,876.08"
29-Aug-20,IMPS,"260,729.00",0,"1,056,605.08"
29-Aug-20,Reversal,0,"528,302.54","528,302.54"
29-Aug-20,Cash,0,"264,151.27","264,151.27"
29-Aug-20,Debit Card,"3,849.00",0,"268,000.27"
29-Aug-20,Interest,"3,028.50",0,"271,028.77"
29-Aug-20,Tax,0,"45,171.46","225,857.31"
29-Aug-20,ATM,"1,201.50",0,"227,058.81"
30-Aug-20,ATM,57.6,0,"227,116.41"
30-Aug-20,RTGS,0,"56,779.10","170,337.31"
30-Aug-20,Transfer,0,"24,333.90","146,003.41"
30-Aug-20,Cheque,1.2,0,"146,004.61"
30-Aug-20,Cash,"608,444.00",0,"754,448.61"
30-Aug-20,Commission,"1,822.00",0,"756,270.61"
30-Aug-20,IMPS,0,"378,135.31","378,135.30"
30-Aug-20,Reversal,0,"54,019.33","324,115.97"
30-Aug-20,Miscellaneous,"148,962.90",0,"473,078.87"
